Issue Type,Key,Summary,Description,Acceptance Criteria,Dependencies,Logging
Epic,ATCARE-MVP-CMS-EP-01,사례관리 데이터 모델,"Supabase의 clients, service_records 테이블과 RLS 정책을 정의","ERD 작성; 컬럼 타입 정의; 역할별 접근 제어 문서",,DDL 적용 시 감사 로그 남김
Story,ATCARE-MVP-CMS-US-01,대상자 등록 플로우,"등록 폼, POST /api/clients, RLS/Storage 연계를 구현","15개 필드 입력; 성공/실패 토스트; 감사 로그 client_created; 테스트 커버리지 70%",ATCARE-MVP-CMS-EP-01,auditLogger.info/error(client_created)
Sub-task,ATCARE-MVP-CMS-US-01-FORM,대상자 등록 UI 구현,"React Hook Form + Zod 기반 폼과 토스트 연동","필수 필드 검증; 오류 메시지 표시; 2스페이스 코드 스타일",ATCARE-MVP-CMS-US-01,auditLogger.info(client_form_rendered)
Sub-task,ATCARE-MVP-CMS-US-01-API,대상자 등록 API 구현,"POST /api/clients 라우트와 Supabase insert 처리","요청 본문 검증; 성공 시 UUID 반환; 실패 시 4xx/5xx 처리",ATCARE-MVP-CMS-US-01,auditLogger.info(client_created)
Sub-task,ATCARE-MVP-CMS-US-01-TEST,대상자 등록 테스트,"Jest/RTL 테스트 및 Supabase 모킹","성공/실패 플로 커버; 커버리지 70% 이상",ATCARE-MVP-CMS-US-01,auditLogger.info(test_result)
Story,ATCARE-MVP-CMS-US-02,대상자 조회/수정,"GET/PATCH /api/clients, 목록/상세 UI, optimistic 업데이트","25개 페이지네이션; 탭 구조; 수정 시 토스트; 감사 로그",ATCARE-MVP-CMS-US-01,auditLogger.info(client_viewed)
Sub-task,ATCARE-MVP-CMS-US-02-LIST,대상자 목록 테이블,"검색 파라미터 연계 테이블 컴포넌트","헤더 접근성; 상태 뱃지; 스켈레톤 표시",ATCARE-MVP-CMS-US-02,auditLogger.info(client_list_loaded)
Sub-task,ATCARE-MVP-CMS-US-02-DETAIL,대상자 상세 페이지,"탭 구조와 편집 폼 구현","Overview/Notes 기본 섹션 표시; 수정 시 로딩 상태",ATCARE-MVP-CMS-US-02,auditLogger.info(client_detail_viewed)
Sub-task,ATCARE-MVP-CMS-US-02-API,대상자 조회/수정 API,"GET/PATCH 라우트 구현 및 권한 검사","RLS 일관성; optimistic 업데이트 대응",ATCARE-MVP-CMS-US-02,auditLogger.info(client_updated)
Story,ATCARE-MVP-CMS-US-03,대상자 검색/필터,"검색/필터 훅과 debounce 유틸, 감사 로그","300ms 디바운스; URL 동기화; ARIA 준수",ATCARE-MVP-CMS-US-02,auditLogger.info(client_search_executed)
Sub-task,ATCARE-MVP-CMS-US-03-HOOK,검색 필터 훅,"useClientFilters 훅 작성","URL 쿼리 유지; 기본 필터 상태 제공",ATCARE-MVP-CMS-US-03,auditLogger.info(filter_state_changed)
Sub-task,ATCARE-MVP-CMS-US-03-UI,검색/필터 UI,"검색 입력, 필터 버튼, 리셋 UI","접근성 라벨; 키보드 포커스",ATCARE-MVP-CMS-US-03,auditLogger.info(client_search_ui_used)
Story,ATCARE-MVP-CMS-US-04,상담 기록 CRUD,"타임라인 UI, 파일 첨부, CRUD API","SOAP 템플릿; 첨부 파일 저장; ACL 적용",ATCARE-MVP-CMS-US-01,auditLogger.info(consultation_created)
